...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22E_50_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI,X22E_95_CI
1,0.817165810656237,0.3877231606743745,AK,2023-02-19,1,1,1,1,1,0,1,0,1,1,1,0
2,0.526469989696628,0.1161320511357055,AK,2023-02-20,1,1,1,1,1,1,0,1,1,1,1,0
3,0.326069068718826,0.1098849523647795,AK,2023-02-21,1,1,1,1,1,1,1,0,1,1,1,0
4,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.178306542506458,0.011192084141827,AK,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
6,1.13349324824318,0.449109216561924,AK,2023-02-24,1,0,0,1,1,1,1,0,0,1,1,1
7,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.0113772349497077,0.0072331605529250996,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
10,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.00553913510427446,0.003797597560030035,AK,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
16,NA,NA,AK,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,AK,2023-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.0142193594353654,0.002783380713820485,AK,2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1
19,0.00359064580600855,0.00251597089529707,AK,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
20,NA,NA,AK,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.00237770312334989,0.001707928268235815,AK,2023-03-13,1,1,1,1,1,1,1,0,1,1,1,0
24,NA,NA,AK,2023-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.00178647700254833,0.00142435561801771,AK,2023-03-15,1,1,1,1,1,1,1,1,1,1,1,1
26,0.00187264503505383,0.001305407180154135,AK,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
27,NA,NA,AK,2023-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.00156351209192286,0.001105199485757395,AK,2023-03-18,1,1,1,1,1,1,1,1,1,1,1,1
29,NA,NA,AK,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.00118750098927518,9.46548980059085e-4,AK,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1
31,NA,NA,AK,2023-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2023-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1.34650145541579,0.954016061294555,AK,2023-03-24,1,0,1,1,1,0,1,0,1,1,1,0
35,NA,NA,AK,2023-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2023-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2023-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.00278093696722025,5.33953600264695e-4,AK,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1
41,NA,NA,AK,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.0217480589652136,0.015512559046989,AL,2023-02-20,1,1,1,1,1,1,1,0,1,1,0,1
45,0.0196438081825991,0.01391704961827295,AL,2023-02-21,1,1,1,1,1,1,1,0,1,1,1,0
46,1.12054975437689,0.792671604100455,AL,2023-02-22,1,0,1,1,1,0,1,1,1,1,1,1
47,0.013794309770738,0.011192084141827,AL,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
48,1.14656001348704,0.4508395660249825,AL,2023-02-24,1,0,1,1,0,1,1,0,1,1,0,1
49,1.25525809339728,0.89265478125823,AL,2023-02-25,1,0,1,0,1,1,1,0,1,0,1,1
50,NA,NA,AL,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.00976872258905552,0.0072331605529250996,AL,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
52,NA,NA,AL,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0.0261153751656284,0.0052268143772295,AL,2023-03-02,1,1,1,1,1,1,0,0,1,1,1,1
55,1.09173556215907,0.4379783672286885,AL,2023-03-03,1,0,1,1,1,0,1,0,1,1,1,0
56,NA,NA,AL,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,0.021173768583279,0.003797597560030035,AL,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
58,NA,NA,AL,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,0.0041337745229809,0.003083440475482245,AL,2023-03-07,1,1,1,1,1,1,1,1,1,1,1,1
60,0.0155049827815597,0.002783380713820485,AL,2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1
61,1.18370424473804,0.314619220530537,AL,2023-03-09,0,0,1,1,1,1,0,0,1,1,1,1
62,NA,NA,AL,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2023-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0.00220813891792468,0.001557933320592765,AL,2023-03-14,1,1,1,1,1,1,1,1,1,1,1,1
