...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
1,1.05798235480121,0.217189305509836,AK,2022-07-03,0,1,1,1,1,0,0,0,0,1
2,2.16765038677489,0.089014656496093,AK,2022-07-04,1,1,0,1,1,1,1,0,0,1
3,3.82811167185573,0.179867335237535,AK,2022-07-05,1,0,0,1,1,1,0,0,1,1
4,2.58909476075066,0.237074323243482,AK,2022-07-06,1,0,1,0,1,1,0,0,0,1
5,1.46032948531173,0.1799037127757075,AK,2022-07-07,0,0,1,1,1,0,1,0,1,1
6,1.14453575086922,0.2683312555776065,AK,2022-07-08,1,0,1,1,1,1,0,0,0,1
7,0.800708242685386,0.1427186705957415,AK,2022-07-09,1,1,1,1,1,1,0,0,1,1
8,0.226545236489866,0.055128283532518,AK,2022-07-10,1,1,1,1,1,1,1,0,0,1
9,2.2174518375162098,0.244395736386266,AK,2022-07-11,1,0,1,1,1,0,0,0,0,1
10,0.872044081544956,0.2187893685404325,AK,2022-07-12,1,1,1,1,1,1,0,0,0,1
11,1.52370842754355,0.1170014307411715,AK,2022-07-13,1,1,1,0,1,1,0,0,1,1
12,0.540425872227547,0.1711136885014,AK,2022-07-14,1,1,1,1,1,1,0,0,0,1
13,0.704103870419702,0.161211184441483,AK,2022-07-15,1,1,1,1,1,1,0,0,1,1
14,1.17427710504945,0.144263267652462,AK,2022-07-16,1,1,1,1,1,1,1,1,1,1
15,0.990702011070552,0.237314797507289,AK,2022-07-17,1,1,1,1,1,1,0,0,1,1
16,2.31207462990435,0.0608978749367515,AK,2022-07-18,1,1,0,1,1,1,0,0,1,1
17,2.93096552225143,0.0280641241766503,AK,2022-07-19,1,0,0,1,1,1,0,0,1,1
18,0.670489905614459,0.145289389518062,AK,2022-07-20,1,1,1,1,1,1,0,0,1,1
19,0.721277213445666,0.141822323563593,AK,2022-07-21,1,1,1,1,1,1,0,0,1,1
20,0.825460024026418,0.102028364719713,AK,2022-07-22,1,1,1,1,1,1,0,0,1,1
21,0.641102608600773,0.0212999078499231,AK,2022-07-23,1,1,1,1,1,1,0,0,1,1
22,0.452777050985344,0.092885244257174,AK,2022-07-24,1,1,1,1,1,1,0,0,1,1
23,1.22685457002838,0.2021584010627285,AK,2022-07-25,0,1,1,1,1,0,0,0,0,1
24,2.23211316459967,0.060740087202573,AK,2022-07-26,1,0,0,1,1,1,0,0,0,1
