...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.244578290793968,0.266327755098657,AK,2023-01-22,1,1,1,1,1,1,1,0,1,0,1,1
2,0.763527339444611,0.1882433260665135,AK,2023-01-23,1,0,1,1,1,1,1,1,1,1,1,1
3,2.28730706702834,0.273170137970231,AK,2023-01-24,1,0,1,0,1,0,1,0,1,1,1,0
4,1.77391419333909,0.3492650170657805,AK,2023-01-25,1,1,1,1,1,0,0,0,1,0,1,0
5,3.75095524361228,0.2315657890441455,AK,2023-01-26,1,0,1,0,1,1,1,0,1,1,1,0
6,0.829131444768348,0.326726364576823,AK,2023-01-27,0,1,1,1,1,1,0,1,1,0,1,1
7,0.41623357000356,0.251468694370449,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,1
8,0.575670162200285,0.2588462491568845,AK,2023-01-29,1,1,1,1,1,1,1,0,1,0,1,1
9,1.74688738285567,0.2812943002866605,AK,2023-01-30,1,0,1,0,1,1,1,0,1,0,1,1
10,0.573468954064233,0.2502344747552425,AK,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,1
11,0.583348945803615,0.2010826530542405,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,1,1
12,0.872330463543768,0.235104238070586,AK,2023-02-02,1,1,1,1,1,1,1,0,1,0,1,1
13,0.851937167656135,0.3461625118110485,AK,2023-02-03,1,1,0,1,1,1,1,0,0,0,1,1
14,1.46818300204565,0.2781031610396015,AK,2023-02-04,1,0,1,1,1,1,1,0,1,0,1,1
15,0.744166124112603,0.150004902666398,AK,2023-02-05,1,1,1,1,1,1,1,0,1,0,1,1
16,3.18686455059029,0.1573844301511895,AK,2023-02-06,1,0,1,0,1,1,1,0,1,0,0,1
17,0.840178855689192,0.271853423505683,AK,2023-02-07,1,1,1,1,0,1,1,0,1,1,0,1
18,0.899627690742743,0.272963427795174,AK,2023-02-08,1,1,0,1,1,1,1,1,1,1,1,1
19,0.427619541542572,0.2828116568146395,AK,2023-02-09,1,1,1,1,1,1,1,1,1,1,1,1
20,1.54787153036842,0.098793946013506,AK,2023-02-10,1,0,1,0,1,1,1,0,1,0,1,1
21,0.445041939953554,0.1578442989097895,AK,2023-02-11,1,1,1,1,1,1,1,0,1,0,1,1
22,0.64130267365097,0.082350971011079,AK,2023-02-12,1,1,1,1,1,1,1,0,1,0,1,1
23,1.97692057896682,0.285397658547703,AK,2023-02-13,1,0,1,0,1,0,0,1,1,0,0,0
24,0.744391412671637,0.22934806130287,AK,2023-02-14,1,1,1,1,1,1,1,0,1,0,1,1
25,0.967813727890694,0.2651400216448415,AK,2023-02-15,1,0,1,1,1,1,1,0,1,0,1,1
26,0.97284842811679,0.0559002934230985,AK,2023-02-16,1,1,1,0,1,1,1,1,1,1,1,1
27,0.358317017614241,0.1298863610378335,AK,2023-02-17,1,1,1,1,1,1,1,0,1,0,1,1
28,0.407206474848089,0.19007170521105,AK,2023-02-18,1,1,1,1,1,1,1,0,1,0,1,1
29,0.736834784978685,0.3408464199522705,AK,2023-02-19,1,1,1,1,1,1,1,0,1,0,1,1
30,0.558102596320733,0.1196287323329665,AK,2023-02-20,1,1,1,1,1,1,1,0,1,0,1,1
31,0.348875835154131,0.113190633907898,AK,2023-02-21,1,1,1,1,1,1,1,1,1,0,0,1
32,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.242138761852836,0.02661868238839345,AK,2023-02-23,1,1,1,1,1,1,1,0,1,0,1,1
34,1.10475842199882,0.4278984885559215,AK,2023-02-24,1,1,1,0,0,1,1,1,1,0,0,1
35,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.0131816158905275,0.0169212557839418,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
38,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.301868565796358,0.197046638721042,AL,2023-01-23,1,1,1,1,1,1,1,1,1,1,1,1
45,0.326591437172753,0.21108453012696551,AL,2023-01-24,1,1,1,1,1,1,1,1,1,1,1,1
46,0.374190655417361,0.28896108477852,AL,2023-01-25,1,1,1,1,1,1,1,0,1,0,1,1
47,0.981860838793754,0.470703441170344,AL,2023-01-26,0,1,1,1,1,1,0,0,1,1,1,1
48,0.53458106249286,0.2553138177798805,AL,2023-01-27,1,1,1,1,1,1,1,0,1,0,1,1
49,0.981895434153052,0.68690449627751,AL,2023-01-28,1,1,1,1,1,0,1,1,1,0,1,0
50,NA,NA,AL,2023-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1.14665041229487,0.2040813943677635,AL,2023-01-30,1,0,1,0,1,1,1,0,1,0,1,1
52,0.240604890853556,0.1887824834826295,AL,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,1
53,NA,NA,AL,2023-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0.846712772739093,0.3481456980444625,AL,2023-02-02,0,1,1,1,1,1,0,0,1,1,1,1
55,NA,NA,AL,2023-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,0.165308639414383,0.1345471835784795,AL,2023-02-04,1,1,1,1,1,1,1,1,1,1,1,1
57,0.657904268915591,0.4311052725811025,AL,2023-02-05,1,1,1,1,1,1,1,0,1,1,0,1
58,0.349010864908299,0.281903156671713,AL,2023-02-06,1,1,1,1,1,1,1,1,1,1,1,1
59,0.709175167412455,0.472872837547861,AL,2023-02-07,1,1,1,1,1,1,1,0,1,0,1,1
60,0.876202438668536,0.092068981079394,AL,2023-02-08,1,1,1,0,1,1,1,1,1,1,1,1
61,1.04721283918324,0.7343611543306,AL,2023-02-09,1,1,1,1,0,1,1,1,1,0,0,1
62,0.0927235626636744,0.0751079960204515,AL,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,1
63,NA,NA,AL,2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.0692923915417214,0.054483843200495,AL,2023-02-13,1,1,1,1,1,1,1,1,1,1,1,1
66,0.19168863951429,0.0487681994218554,AL,2023-02-14,1,1,1,1,1,1,1,1,1,1,1,1
67,0.329506263127254,0.04357529441354675,AL,2023-02-15,1,1,1,1,1,1,1,0,1,0,1,1
68,0.0454018838583781,0.0388702288256885,AL,2023-02-16,1,1,1,1,1,1,1,1,1,1,1,1
69,NA,NA,AL,2023-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2023-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.0311859687275761,0.0242449391651572,AL,2023-02-20,1,1,1,1,1,1,1,1,1,1,1,1
73,0.026478080067305,0.02147505366394455,AL,2023-02-21,1,1,1,1,1,1,1,1,1,1,1,1
74,1.08814628913663,0.749213247445985,AL,2023-02-22,1,0,1,0,1,1,1,0,1,0,1,1
75,0.0217595848064655,0.01679151128416295,AL,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
76,1.13282111526968,0.4453765855206295,AL,2023-02-24,1,1,1,0,1,0,1,1,1,0,1,0
77,1.26415673525268,0.88247859817853,AL,2023-02-25,1,1,1,0,1,0,1,0,1,1,1,0
78,NA,NA,AL,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.0116157562091753,0.01015018042886755,AL,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
80,NA,NA,AL,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
