...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,other_95_CI
1,0.0122638902830853,0.0064788410473235,AK,2022-10-02,1,1,1,1,1,1,1,1,0,1,1,0
2,0.950956566942471,0.427038949949482,AK,2022-10-03,1,0,0,1,1,1,1,0,0,1,1,1
3,1.2450679634325,0.893039183775305,AK,2022-10-04,1,1,0,1,0,1,1,1,0,1,0,1
4,1.15779213516783,0.84282955373337,AK,2022-10-05,1,0,0,1,1,1,1,0,0,1,1,1
5,NA,NA,AK,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.0139846063469958,0.0077641608948751,AK,2022-10-07,1,1,1,1,1,1,1,1,1,1,1,1
7,NA,NA,AK,2022-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2022-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1.29485828925549,0.2934864511364205,AK,2022-10-10,1,1,0,0,1,1,1,1,0,0,1,1
10,0.0185133565720657,0.00917345551044355,AK,2022-10-11,1,1,1,1,1,1,1,1,1,1,1,1
11,NA,NA,AK,2022-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,AK,2022-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,AK,2022-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2022-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2022-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,AK,2022-10-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.0903806129506876,0.01278108002896605,AK,2022-10-18,1,1,1,1,1,1,1,1,1,1,1,1
18,0.0300344594745641,0.0134517527430224,AK,2022-10-19,1,1,1,1,1,1,1,1,1,1,1,1
19,NA,NA,AK,2022-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2022-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2022-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.0394198453443163,0.01760682356260055,AK,2022-10-24,1,1,1,1,1,1,1,1,1,1,1,1
24,NA,NA,AK,2022-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,AK,2022-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,AK,2022-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2022-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2022-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1.04266006147943,0.769228535560045,AK,2022-10-30,1,1,0,1,0,1,1,1,0,1,0,1
30,NA,NA,AK,2022-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2022-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.217430956244751,0.0302003210961705,AK,2022-11-02,1,1,1,1,1,1,1,1,1,1,1,1
33,NA,NA,AK,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2022-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2022-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2022-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2022-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2022-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2022-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2022-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2022-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2022-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.260585878431082,0.0270801124193884,AL,2022-10-02,1,1,1,1,1,1,1,0,0,1,1,1
44,0.0391311195138608,0.0269996893994314,AL,2022-10-03,1,1,1,1,1,1,1,1,1,1,1,1
45,NA,NA,AL,2022-10-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.125446617796753,0.0268454010648753,AL,2022-10-05,1,1,1,1,1,1,1,0,0,1,1,1
47,NA,NA,AL,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2022-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.124053109136325,0.02663121243693015,AL,2022-10-08,1,1,1,1,1,1,1,1,1,1,1,1
50,0.246786623805289,0.0265648707163849,AL,2022-10-09,1,1,1,1,1,1,1,0,0,1,1,1
51,0.125956094357143,0.02650136152100015,AL,2022-10-10,1,1,1,1,1,1,1,1,1,1,1,1
52,0.230884043682011,0.0264409387995645,AL,2022-10-11,1,1,1,1,1,1,1,1,1,1,1,1
53,2.27917549194996,0.4113641372293435,AL,2022-10-12,1,1,0,1,0,1,1,0,0,1,0,1
54,0.323675073952335,0.161776985608859,AL,2022-10-13,1,1,1,1,1,1,1,1,1,1,1,1
55,0.369036520089101,0.02628159146623865,AL,2022-10-14,1,1,1,1,1,1,1,1,0,0,1,1
56,0.03571613317302,0.02623725192594425,AL,2022-10-15,1,1,1,1,1,1,1,1,1,1,1,1
57,0.955084539553886,0.1887708260764435,AL,2022-10-16,1,1,1,0,1,1,1,0,1,0,1,1
58,1.06742150407175,0.4321561625718095,AL,2022-10-17,1,1,1,0,1,1,1,1,0,0,1,1
59,0.0335350905913022,0.02613903102292215,AL,2022-10-18,1,1,1,1,1,1,1,1,1,1,1,1
60,0.117011681456492,0.0261205777085341,AL,2022-10-19,1,1,1,1,1,1,1,1,1,1,1,1
61,0.0333442990394734,0.0261109221348615,AL,2022-10-20,1,1,1,1,1,1,1,1,1,1,1,1
62,0.0352352015651939,0.02611127794945365,AL,2022-10-21,1,1,1,1,1,1,1,1,1,1,1,1
63,0.0344903211406754,0.02612303479596995,AL,2022-10-22,1,1,1,1,1,1,1,1,1,1,1,1
64,0.115786206305074,0.02614778359905295,AL,2022-10-23,1,1,1,1,1,1,1,1,1,1,1,1
65,0.0331933883098443,0.02618734648490205,AL,2022-10-24,1,1,1,1,1,1,1,1,1,1,1,1
66,0.11333527085853,0.0262438123187467,AL,2022-10-25,1,1,1,1,1,1,1,1,1,1,1,1
67,1.33060771131417,0.397429237464258,AL,2022-10-26,1,1,0,1,0,1,1,0,1,1,0,1
68,2.33045568445473,0.823111046738985,AL,2022-10-27,1,1,0,0,1,1,1,1,0,0,1,1
69,NA,NA,AL,2022-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,1.02560349046431,0.426326599477874,AL,2022-10-29,1,1,1,1,0,1,0,1,1,1,0,1
71,0.758335408610095,0.366427517200466,AL,2022-10-30,1,0,1,1,1,1,1,0,0,1,1,1
72,0.841392786425804,0.186150461675961,AL,2022-10-31,1,1,1,1,0,1,1,1,0,1,0,1
73,1.13440356842881,0.3214966910557715,AL,2022-11-01,1,1,0,1,0,1,1,0,0,0,0,1
74,0.903387775383314,0.2911528580010505,AL,2022-11-02,1,1,1,1,0,1,1,1,0,1,0,1
75,3.05007116436384,0.515799121597335,AL,2022-11-03,1,0,0,1,0,1,1,0,0,1,0,1
76,1.15081451855683,0.81303141373715,AL,2022-11-04,1,1,0,1,0,1,1,1,0,1,0,1
77,1.1654671711375,0.790562428857365,AL,2022-11-05,1,1,0,0,1,1,1,1,0,0,1,1
78,1.15279444583012,0.807010988759545,AL,2022-11-06,1,1,0,1,0,1,1,0,1,1,0,1
79,1.76587647672924,0.3396490837090545,AL,2022-11-07,1,1,0,1,0,1,1,1,0,1,0,1
80,0.117564815834309,0.0312078989240057,AL,2022-11-08,1,1,1,1,1,1,1,1,1,1,1,1
81,1.2468328091266,0.388847259175237,AL,2022-11-09,1,1,0,1,0,1,1,0,0,1,0,1
82,2.64372078642056,0.3581827544268565,AL,2022-11-10,1,1,0,1,0,1,1,1,0,1,0,1
83,1.11387559971047,0.786410789591905,AL,2022-11-11,1,1,0,1,0,1,1,1,0,1,0,1
84,0.818605537784833,0.284594583692282,AL,2022-11-12,1,1,1,1,0,1,1,1,0,1,0,1
85,0.339993594164116,0.0134676367514505,AR,2022-10-02,1,1,1,1,1,1,1,1,0,1,0,1
86,1.23192911288218,0.1783361659080135,AR,2022-10-03,1,0,1,1,1,1,1,0,0,1,1,1
87,1.01097659260594,0.1958399213646685,AR,2022-10-04,1,1,1,1,0,1,1,0,1,1,0,1
