...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,other_95_CI
1,0.672640612074852,0.175010876354912,AK,2022-08-14,1,1,1,0,0,1
2,0.319095791309133,0.00577374237517915,AK,2022-08-15,1,1,1,1,1,1
3,0.453937285058902,0.100132545883015,AK,2022-08-16,1,1,1,0,0,1
4,0.991610768334868,0.0891175127885385,AK,2022-08-17,1,1,0,0,1,0
5,0.0519236284262923,0.0050750992454585,AK,2022-08-18,1,1,1,1,1,1
6,0.442291588267392,0.090924929923737,AK,2022-08-19,1,1,1,1,1,1
7,1.09143410528835,0.4364288465987555,AK,2022-08-20,0,0,1,0,0,1
8,0.138676355239149,0.004467472067911775,AK,2022-08-21,1,1,1,1,1,1
9,1.97873290593677,0.2940063006051095,AK,2022-08-22,0,0,1,0,0,1
10,0.00540228166284513,0.00410589790826142,AK,2022-08-23,1,1,1,1,1,1
11,NA,NA,AK,2022-08-24,NA,NA,NA,NA,NA,NA
12,0.0189784766456267,0.00377504758334168,AK,2022-08-25,1,1,1,0,0,1
13,NA,NA,AK,2022-08-26,NA,NA,NA,NA,NA,NA
14,0.015056389592866,0.00347193608950272,AK,2022-08-27,1,1,1,1,1,1
15,0.0154833313928428,0.0033299530152657,AK,2022-08-28,1,1,1,1,1,1
16,0.0342603248438674,0.00319395018712181,AK,2022-08-29,1,1,1,1,1,1
17,0.0135082881990709,0.003063648977776545,AK,2022-08-30,1,1,1,1,1,1
18,0.887641273620541,0.1812569565371815,AK,2022-08-31,0,0,1,0,0,1
19,NA,NA,AK,2022-09-01,NA,NA,NA,NA,NA,NA
20,0.00304491494129994,0.002704405105204745,AK,2022-09-02,1,1,1,1,1,1
21,NA,NA,AK,2022-09-03,NA,NA,NA,NA,NA,NA
22,0.00265255553036611,0.002488984888584675,AK,2022-09-04,1,1,1,1,1,1
23,NA,NA,AK,2022-09-05,NA,NA,NA,NA,NA,NA
24,0.026583417072897,0.002290896801505565,AK,2022-09-06,1,1,1,1,1,1
25,0.00355007202388805,0.00219788849239966,AK,2022-09-07,1,1,1,1,1,1
26,NA,NA,AK,2022-09-08,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2022-09-09,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2022-09-10,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2022-09-11,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2022-09-12,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2022-09-13,NA,NA,NA,NA,NA,NA
32,0.00164929828579863,0.001644584329440685,AK,2022-09-14,1,1,1,1,1,1
33,NA,NA,AK,2022-09-15,NA,NA,NA,NA,NA,NA
34,0.0078213545856259,0.001513769769874305,AK,2022-09-16,1,1,1,1,1,1
35,0.00193610079663754,0.001452300439269175,AK,2022-09-17,1,1,1,1,1,1
36,0.00571389631383373,0.00139331387696306,AK,2022-09-18,1,1,1,1,1,1
37,0.0208969145415763,0.00133670897271244,AK,2022-09-19,1,1,1,1,1,1
38,NA,NA,AK,2022-09-20,NA,NA,NA,NA,NA,NA
39,0.00193605837021623,0.001230261203701345,AK,2022-09-21,1,1,1,1,1,1
40,NA,NA,AK,2022-09-22,NA,NA,NA,NA,NA,NA
41,0.00123490542712985,0.00113223131270769,AK,2022-09-23,1,1,1,1,1,1
42,NA,NA,AK,2022-09-24,NA,NA,NA,NA,NA,NA
43,2.00625596634735,0.0610364852938015,AL,2022-08-14,0,0,1,0,0,1
44,1.45773737366137,0.158377373924993,AL,2022-08-15,1,1,1,0,0,1
45,1.05686321271561,0.167001125498366,AL,2022-08-16,1,1,1,0,0,1
46,0.96774216364226,0.1716174666757755,AL,2022-08-17,1,1,0,0,1,0
47,4.43506878198196,0.2619687551297695,AL,2022-08-18,0,0,1,0,0,1
48,2.5658894942375,0.2525941243804975,AL,2022-08-19,0,0,1,1,1,1
49,1.43126571570194,0.0249173093422471,AL,2022-08-20,0,0,1,0,0,1
50,1.28443037824277,0.0244998159620283,AL,2022-08-21,0,0,1,0,0,1
51,0.692804436243049,0.1226150013913485,AL,2022-08-22,1,1,1,0,0,1
52,3.88128618997947,0.254436761780998,AL,2022-08-23,0,0,1,0,0,1
53,0.961210031884179,0.0696196782858725,AL,2022-08-24,1,1,1,0,0,1
54,0.81765563731293,0.0727245552951425,AL,2022-08-25,1,1,1,1,1,1
55,1.01199375413101,0.162834363551414,AL,2022-08-26,1,1,0,0,0,0
56,0.594723030631944,0.117932056756012,AL,2022-08-27,1,1,1,0,0,1
57,0.440410081059059,0.122477705409389,AL,2022-08-28,1,1,1,1,1,1
58,3.04718406508344,0.0577209123930715,AL,2022-08-29,0,0,1,0,0,1
59,1.19215373676782,0.170089922853786,AL,2022-08-30,1,1,0,1,0,0
60,1.75377391531062,0.2105743724844165,AL,2022-08-31,0,0,1,0,0,1
61,0.621908867423867,0.075370569825782,AL,2022-09-01,1,1,1,0,0,1
62,0.453072854226359,0.085238652931982,AL,2022-09-02,1,1,1,1,1,1
63,1.2261471117023,0.1994532515337665,AL,2022-09-03,0,0,1,1,1,1
64,1.09057382190848,0.01947594439197855,AL,2022-09-04,0,0,1,0,0,1
65,NA,NA,AL,2022-09-05,NA,NA,NA,NA,NA,NA
66,0.669568610212455,0.1639294117203595,AL,2022-09-06,1,1,1,0,0,1
67,0.359127177660769,0.0913134562280755,AL,2022-09-07,1,1,1,0,0,1
68,1.63098414777961,0.1899626779064705,AL,2022-09-08,0,0,1,0,0,1
69,0.339532114754504,0.139952785263983,AL,2022-09-09,1,1,1,0,0,1
70,0.801113304240905,0.384695843262014,AL,2022-09-10,0,0,1,0,0,1
71,0.396271022747015,0.164633882877288,AL,2022-09-11,1,1,1,0,0,1
72,0.802301275270946,0.1811833661582655,AL,2022-09-12,1,1,1,0,0,1
73,0.368103760393761,0.0841604263732335,AL,2022-09-13,1,1,1,0,0,1
74,0.961032148284307,0.2021889980442415,AL,2022-09-14,1,1,1,0,0,1
75,0.553814443599347,0.0163273423249779,AL,2022-09-15,1,1,1,1,1,1
76,0.47235110561397,0.2026883820227445,AL,2022-09-16,1,1,1,1,1,1
77,0.518215375322552,0.2029381883010475,AL,2022-09-17,1,1,1,0,0,1
78,0.0206554800031782,0.0155624208968877,AL,2022-09-18,1,1,1,1,1,1
79,0.686934751372253,0.2661454387718615,AL,2022-09-19,1,1,1,0,0,1
80,0.25625255931846,0.01507234893797415,AL,2022-09-20,1,1,1,1,1,1
81,0.313328392676059,0.1228928840807535,AL,2022-09-21,1,1,1,1,1,1
82,0.44089722760026,0.1662696146363745,AL,2022-09-22,1,1,1,0,0,1
83,2.18958793985483,0.299473460456879,AL,2022-09-23,0,0,1,0,0,1
84,0.130112481038277,0.0141372608953287,AL,2022-09-24,1,1,1,1,1,1
85,0.109517722599648,0.004543069144990145,AR,2022-08-14,1,1,1,1,1,1
86,3.48958370423166,0.1416334652927915,AR,2022-08-15,0,0,0,0,0,0
87,1.82317180161167,0.00428500892483139,AR,2022-08-16,0,0,1,0,0,1
88,0.533763027732352,0.04204012579564075,AR,2022-08-17,1,1,1,0,0,1
89,0.493298515876736,0.0664004372753705,AR,2022-08-18,1,1,1,0,0,1
90,2.2678809493403,0.2720688294027415,AR,2022-08-19,0,0,0,0,0,0
91,0.645559510393257,0.003827245995694455,AR,2022-08-20,1,1,1,0,0,1
92,1.82069323073682,0.1959113754030135,AR,2022-08-21,1,0,0,1,0,0
93,4.52198410252147,0.197809408067498,AR,2022-08-22,0,0,0,0,0,0
94,0.905579974980159,0.03949835690740995,AR,2022-08-23,1,1,1,0,0,1
95,2.23106521515305,0.1165452261514485,AR,2022-08-24,1,0,0,0,0,0
96,2.44912856872337,0.143240106250802,AR,2022-08-25,0,0,0,0,0,1
97,0.496757697248493,0.0714050482973875,AR,2022-08-26,1,1,1,0,0,1
98,0.501134657621041,0.0417541801352639,AR,2022-08-27,1,1,1,1,1,1
99,3.50371376102071,0.2570621543731455,AR,2022-08-28,0,0,1,0,0,1
100,2.79077039760634,0.1193955356923585,AR,2022-08-29,0,0,0,1,0,0
101,1.37631351831458,0.0880397068350985,AR,2022-08-30,1,1,0,0,0,0
102,3.38539673423027,0.146587833740478,AR,2022-08-31,0,0,0,1,0,0
103,5.66067749958609,0.158350838565414,AR,2022-09-01,0,0,1,0,0,1
104,2.22843436426462,0.2308783663960095,AR,2022-09-02,0,0,0,0,0,0
105,0.244271470131911,0.002643601635561975,AR,2022-09-03,1,1,1,0,0,1
106,1.24754423350428,0.152324508999323,AR,2022-09-04,0,0,1,0,0,1
107,1.26485008810694,0.144694141092033,AR,2022-09-05,1,0,0,0,0,0
108,5.10381455782193,0.1239082077411265,AR,2022-09-06,0,0,0,0,0,0
109,7.95071808437954,0.1995732306779085,AR,2022-09-07,0,0,0,0,0,0
110,5.21845175992071,0.238024154432467,AR,2022-09-08,0,0,1,0,0,1
111,3.14930729258552,0.192735374491482,AR,2022-09-09,0,0,1,0,0,1
112,1.13380560970576,0.1316281852293855,AR,2022-09-10,0,0,1,0,0,1
113,0.347569798282393,0.062630603639762,AR,2022-09-11,1,1,1,0,0,1
114,5.33039468500972,0.169411313745837,AR,2022-09-12,0,0,1,0,0,1
115,1.15265885666898,0.105575969286734,AR,2022-09-13,1,1,0,1,0,0
116,1.18693578453741,0.0435091721708151,AR,2022-09-14,1,1,0,0,0,0
117,2.11566268859867,0.153888272105279,AR,2022-09-15,0,0,1,0,0,1
118,1.71147895026696,0.1409679719805145,AR,2022-09-16,1,0,0,0,1,0
119,1.21628097618889,0.3206671584861275,AR,2022-09-17,1,0,0,1,0,0
120,1.65885038186749,0.205113335518468,AR,2022-09-18,0,0,1,0,0,1
121,2.13758939446905,0.119727342169764,AR,2022-09-19,1,0,0,1,0,0
122,0.790297440296447,0.0814589445098965,AR,2022-09-20,1,1,1,0,0,1
123,2.4046253615519,0.122754719039444,AR,2022-09-21,1,0,0,1,0,0
124,0.373832455808468,0.0629065103163745,AR,2022-09-22,1,1,1,0,0,1
125,0.888955856853334,0.2315963650330075,AR,2022-09-23,0,0,1,0,0,1
126,NA,NA,AR,2022-09-24,NA,NA,NA,NA,NA,NA
127,0.697278923099008,0.087634114345536,AZ,2022-08-14,1,1,1,0,0,1
128,3.8203081003339,0.123720536836548,AZ,2022-08-15,1,0,0,0,0,0
129,1.59731557324621,0.0469838911985852,AZ,2022-08-16,1,1,1,0,0,1
130,1.13901148731743,0.087074836574591,AZ,2022-08-17,1,1,0,0,0,0
