...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.966446163966806,0.4390193220128305,AK,2022-11-27,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
2,0.423979019688006,0.317216881224364,AK,2022-11-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,NA,NA,AK,2022-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.282238192606464,0.178650822994993,AK,2022-11-30,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
5,NA,NA,AK,2022-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,AK,2022-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2022-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2022-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,AK,2022-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,AK,2022-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,AK,2022-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,AK,2022-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.165142073325059,0.1018421057519005,AK,2022-12-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,NA,NA,AK,2022-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2022-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.145152687883434,0.085183675112494,AK,2022-12-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,0.140601805207152,0.080583458931764,AK,2022-12-13,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
18,NA,NA,AK,2022-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.129605262386728,0.072786401888764,AK,2022-12-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1.34326470575581,0.65472361857536,AK,2022-12-16,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1
21,NA,NA,AK,2022-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2022-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.790788413836811,0.608214986695245,AK,2022-12-19,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
24,NA,NA,AK,2022-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.834081351787732,0.625665468054875,AK,2022-12-21,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
26,NA,NA,AK,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2022-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2022-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2022-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,0.163728552726618,0.0717197046166655,AK,2022-12-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,0.973558899759765,0.725942512277405,AK,2022-12-29,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
34,0.905012505795738,0.66983091968278,AK,2022-12-30,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
35,NA,NA,AK,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2023-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0.340730877672986,0.287055026136094,AK,2023-01-03,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
39,0.615041872603922,0.12081818946389,AK,2023-01-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,0.294920619421678,0.131610750835371,AK,2023-01-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0.317653833735628,0.1433687721422485,AK,2023-01-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,NA,NA,AK,2023-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2022-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.827839378069869,0.1947550735194855,AL,2022-11-28,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
45,0.787760461310563,0.3201159313432995,AL,2022-11-29,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
46,1.07238689688317,0.257125075584182,AL,2022-11-30,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
47,0.850853530779569,0.2813438088698925,AL,2022-12-01,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
48,0.621997811182939,0.285499722342446,AL,2022-12-02,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
49,NA,NA,AL,2022-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,0.826721366503632,0.26567824325587,AL,2022-12-04,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
51,1.13976770604317,0.299006362375752,AL,2022-12-05,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1
52,1.23746085759496,0.352729423137261,AL,2022-12-06,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1
53,0.303487281551432,0.2307181847214375,AL,2022-12-07,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
54,1.30582763041428,0.3134103475363395,AL,2022-12-08,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
55,0.904005299171083,0.234991675367649,AL,2022-12-09,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
56,0.734127208071828,0.13561115361347,AL,2022-12-10,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
57,1.69797096560255,0.538379549836465,AL,2022-12-11,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1
58,1.42023457516061,0.443161511990503,AL,2022-12-12,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1
59,0.084477707637726,0.04997208115789345,AL,2022-12-13,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
60,1.09646500368121,0.3415999356137045,AL,2022-12-14,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1
61,1.47888760704105,0.302887871267604,AL,2022-12-15,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
62,0.859878174499083,0.2887994908917445,AL,2022-12-16,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1
63,0.23334413421236,0.0411732923438836,AL,2022-12-17,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
64,0.222241198744594,0.03991483812027175,AL,2022-12-18,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
65,0.467516724294073,0.2001297471642165,AL,2022-12-19,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
66,1.7024670242161,0.229178100691973,AL,2022-12-20,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1
67,2.52026829633438,0.4452501567330275,AL,2022-12-21,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1
68,NA,NA,AL,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,0.0746240190793528,0.04109919446776575,AL,2022-12-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,NA,NA,AL,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1.49927335393875,0.2868081942260295,AL,2022-12-26,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1
73,1.4304818704825,0.222372461783644,AL,2022-12-27,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
74,2.28800353555554,0.3813480159577835,AL,2022-12-28,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1
75,2.67534277870976,0.3058003762985485,AL,2022-12-29,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
76,1.78610561834611,0.397884698248833,AL,2022-12-30,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
77,NA,NA,AL,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,2.50112742933076,0.240042003546501,AL,2023-01-02,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1
80,3.16041682692362,0.2730943274683955,AL,2023-01-03,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1
81,1.89051220927051,0.3474424851111415,AL,2023-01-04,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1
82,0.896543527564793,0.224705925652534,AL,2023-01-05,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
83,1.84751660160352,0.4277270783643745,AL,2023-01-06,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1
84,2.52701793261771,0.46157376240107,AL,2023-01-07,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
85,0.710734587136956,0.382923074231877,AR,2022-11-27,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
86,4.15505974462219,0.2773227914736195,AR,2022-11-28,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
87,2.4622782968999,0.263587028836927,AR,2022-11-29,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0
88,1.39698651281924,0.31145957684133,AR,2022-11-30,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
89,1.47634634141733,0.31471173790152,AR,2022-12-01,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0
90,2.30746146606333,0.266013594315206,AR,2022-12-02,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1
91,0.765204742250986,0.3845714293773645,AR,2022-12-03,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1
92,0.275747828093567,0.265824975238309,AR,2022-12-04,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
93,2.16336917733165,0.322889616487144,AR,2022-12-05,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1
94,3.48639560833589,0.3606266771147205,AR,2022-12-06,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0
95,1.49734251438395,0.2738970063429145,AR,2022-12-07,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
96,3.15309702570517,0.3546362720813455,AR,2022-12-08,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1
97,1.46884843759228,0.2682518381307485,AR,2022-12-09,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0
98,0.623423989149349,0.2531112759157405,AR,2022-12-10,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
99,0.748115456341181,0.264385085103554,AR,2022-12-11,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
100,5.14338160745504,0.332552827848369,AR,2022-12-12,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
101,1.35952285792532,0.2846039864038185,AR,2022-12-13,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1
102,3.34111360585067,0.295831847772352,AR,2022-12-14,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0
103,1.49201028089482,0.1864378986590065,AR,2022-12-15,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1
104,3.31473764603889,0.4436383941992865,AR,2022-12-16,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
105,0.805785402463773,0.2655802551898705,AR,2022-12-17,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1
106,0.765875480710041,0.2619672482651895,AR,2022-12-18,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
107,2.10156163765864,0.2368151443005135,AR,2022-12-19,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
108,3.49120493652252,0.3264306233953215,AR,2022-12-20,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
109,2.17952392664728,0.244171546405964,AR,2022-12-21,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0
110,1.68759426735044,0.3015032145368105,AR,2022-12-22,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1
111,2.0805696833563,0.394203377062047,AR,2022-12-23,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1
112,1.86229664373564,0.0863414399482825,AR,2022-12-24,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
113,0.87717125018786,0.2375307314065085,AR,2022-12-25,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1
114,4.74720883581678,0.145959373387971,AR,2022-12-26,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
115,1.14305339897948,0.308793755405515,AR,2022-12-27,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1
116,1.72160720503027,0.308321311396938,AR,2022-12-28,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1
117,6.68894186013811,0.4295238002702695,AR,2022-12-29,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1
118,1.91552232533475,0.214993736321917,AR,2022-12-30,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
119,1.31189543057523,0.3427163275985255,AR,2022-12-31,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1
120,0.220265247130669,0.1398304378951055,AR,2023-01-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,2.50378628345425,0.214545169997092,AR,2023-01-02,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1
122,6.68609298534922,0.303339271546266,AR,2023-01-03,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1
123,11.7102801975523,0.288813862741461,AR,2023-01-04,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
124,6.09648915786977,0.3851959245924225,AR,2023-01-05,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1
125,3.08447795080432,0.3886470975762315,AR,2023-01-06,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1
126,2.10581530773703,0.320185076284895,AR,2023-01-07,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1
127,3.41964933654994,0.2742881854132745,AZ,2022-11-27,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1
128,3.66615358129,0.2692011191361445,AZ,2022-11-28,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
129,7.57383197845232,0.3087793476290985,AZ,2022-11-29,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
