...1,es_score,brier_score,location,target_date,X23F_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23F_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
1,NA,NA,AK,2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA
2,0.0937024105738871,0.0401785877412691,AK,2024-01-08,1,1,1,1,1,1,1,1
3,0.471955808035934,0.03610265322776955,AK,2024-01-09,1,1,1,1,1,0,1,0
4,0.237369499849649,0.0323829513984664,AK,2024-01-10,1,1,1,1,1,0,1,0
5,0.0679778093201301,0.02899629503413495,AK,2024-01-11,1,1,1,1,0,0,1,1
6,NA,NA,AK,2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA
9,0.974925496816083,0.76496577269862,AK,2024-01-15,0,0,1,1,1,1,1,1
10,0.0407340174375994,0.01628602614456185,AK,2024-01-16,1,1,1,1,0,0,1,1
11,0.235391046005776,0.01444476057966035,AK,2024-01-17,1,1,1,1,0,0,1,1
12,0.895928611487705,0.42598572001664,AK,2024-01-18,1,1,1,0,1,1,1,1
13,NA,NA,AK,2024-01-19,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,AK,2024-01-22,NA,NA,NA,NA,NA,NA,NA,NA
17,0.0664116013072477,0.00683638506489685,AK,2024-01-23,1,1,1,1,1,0,1,0
18,NA,NA,AK,2024-01-24,NA,NA,NA,NA,NA,NA,NA,NA
19,1.2137524244074,0.89539563421655,AK,2024-01-25,1,0,1,0,1,0,1,0
20,0.0465628002311541,0.004629003173658825,AK,2024-01-26,1,1,1,1,1,1,1,1
21,0.0110716658246727,0.004056622190151695,AK,2024-01-27,1,1,1,1,1,1,1,1
22,0.0107626884462144,0.003551719567261215,AK,2024-01-28,1,1,1,1,1,1,1,1
23,0.00842120334083644,0.00310692222914514,AK,2024-01-29,1,1,1,1,1,1,1,1
24,0.00837951232533106,0.00271556253401325,AK,2024-01-30,1,1,1,1,1,0,1,0
25,NA,NA,AK,2024-01-31,NA,NA,NA,NA,NA,NA,NA,NA
26,0.0061204758712225,0.002069710015512345,AK,2024-02-01,1,1,1,1,1,1,1,1
27,1.1820065180371,0.4701956174871205,AK,2024-02-02,1,0,1,0,0,1,1,0
28,NA,NA,AK,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2024-02-05,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2024-02-06,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2024-02-07,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2024-02-08,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2024-02-09,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2024-02-12,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2024-02-13,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2024-02-15,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA
43,0.743018532640919,0.293885120033322,AL,2024-01-07,1,1,1,1,1,1,1,1
44,NA,NA,AL,2024-01-08,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,AL,2024-01-09,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,AL,2024-01-10,NA,NA,NA,NA,NA,NA,NA,NA
